playerID,OBP,Slugging_Percentage,OPS
troutmi01,0.4188163884673748,0.5811059907834102,0.999922379250785
judgeaa01,0.39370995923121727,0.5582215949188426,0.9519315541500599
ortizda01,0.3833002973240833,0.5617070357554786,0.9450073330795619
vottojo01,0.42796747967479676,0.5158714314234378,0.9438389110982346
cabremi01,0.3993097497842968,0.5435560859188544,0.9428658357031512
bellico01,0.3684782608695652,0.5592476489028213,0.9277259097723864
goldspa01,0.3911507715188697,0.5244969378827646,0.9156477094016343
bregmal01,0.3835493965131873,0.5270341207349082,0.9105835172480955
stantmi03,0.3582516339869281,0.546908064895368,0.9051596988822961
bryankr01,0.38454106280193234,0.5160802118804388,0.9006212746823712
arenano01,0.3514134681682372,0.5457317073170732,0.8971451754853104
harpebr03,0.3853131749460043,0.5117298272750709,0.8970430022210751
acunaro01,0.3653044203502919,0.5316336166194523,0.8969380369697442
martijd02,0.3571590137977833,0.5370090634441088,0.8941680772418921
bettsmo01,0.3737931034482759,0.5192007492975336,0.8929938527458094
cruzne02,0.3503699879538806,0.5376468322742153,0.8880168202280958
freemfr01,0.3790987199719446,0.5037351100343226,0.8828338300062673
bautijo02,0.3734870317002882,0.505701652315569,0.8791886840158571
storytr01,0.3412280701754386,0.5366327025715673,0.8778607727470058
donaljo02,0.3688212927756654,0.5089820359281437,0.8778033287038092
braunry02,0.358550779050122,0.5187656380316931,0.8773164170818151
encared01,0.35636174275299426,0.5186379206125328,0.874999663365527
yelicch01,0.38276801188412973,0.49166902005083307,0.8744370319349628
beltrad01,0.35789072910717684,0.5141124817060422,0.872003210813219
blackch02,0.35986622073578595,0.5085532746823069,0.8684194954180928
