SEASON_ID,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,PTS,OPP_PTS,WIN_LOSS
42019,Los Angeles Lakers,0041900406,2020-10-11,LAL @ MIA,106,106,Win
42019,Los Angeles Lakers,0041900405,2020-10-09,LAL vs. MIA,108,108,Loss
42019,Los Angeles Lakers,0041900404,2020-10-06,LAL @ MIA,102,102,Win
42019,Los Angeles Lakers,0041900403,2020-10-04,LAL @ MIA,104,104,Loss
42019,Los Angeles Lakers,0041900402,2020-10-02,LAL vs. MIA,124,124,Win
42019,Los Angeles Lakers,0041900401,2020-09-30,LAL vs. MIA,116,116,Win
42019,Los Angeles Lakers,0041900315,2020-09-26,LAL vs. DEN,117,117,Win
42019,Los Angeles Lakers,0041900314,2020-09-24,LAL @ DEN,114,114,Win
42019,Los Angeles Lakers,0041900313,2020-09-22,LAL @ DEN,106,106,Loss
42019,Los Angeles Lakers,0041900312,2020-09-20,LAL vs. DEN,105,105,Win
42019,Los Angeles Lakers,0041900311,2020-09-18,LAL vs. DEN,126,126,Win
42019,Los Angeles Lakers,0041900225,2020-09-12,LAL vs. HOU,119,119,Win
42019,Los Angeles Lakers,0041900224,2020-09-10,LAL @ HOU,110,110,Win
42019,Los Angeles Lakers,0041900223,2020-09-08,LAL @ HOU,112,112,Win
42019,Los Angeles Lakers,0041900222,2020-09-06,LAL vs. HOU,117,117,Win
42019,Los Angeles Lakers,0041900221,2020-09-04,LAL vs. HOU,97,97,Loss
42019,Los Angeles Lakers,0041900145,2020-08-29,LAL vs. POR,131,131,Win
42019,Los Angeles Lakers,0041900144,2020-08-24,LAL @ POR,135,135,Win
42019,Los Angeles Lakers,0041900143,2020-08-22,LAL @ POR,116,116,Win
42019,Los Angeles Lakers,0041900142,2020-08-20,LAL vs. POR,111,111,Win
42019,Los Angeles Lakers,0041900141,2020-08-18,LAL vs. POR,93,93,Loss
42019,Milwaukee Bucks,0041900205,2020-09-08,MIL vs. MIA,94,94,Loss
42019,Milwaukee Bucks,0041900204,2020-09-06,MIL @ MIA,118,118,Win
42019,Milwaukee Bucks,0041900203,2020-09-04,MIL @ MIA,100,100,Loss
42019,Milwaukee Bucks,0041900202,2020-09-02,MIL vs. MIA,114,114,Loss
42019,Milwaukee Bucks,0041900201,2020-08-31,MIL vs. MIA,104,104,Loss
42019,Milwaukee Bucks,0041900105,2020-08-29,MIL vs. ORL,118,118,Win
42019,Milwaukee Bucks,0041900104,2020-08-24,MIL @ ORL,121,121,Win
42019,Milwaukee Bucks,0041900103,2020-08-22,MIL @ ORL,121,121,Win
42019,Milwaukee Bucks,0041900102,2020-08-20,MIL vs. ORL,111,111,Win
42019,Milwaukee Bucks,0041900101,2020-08-18,MIL vs. ORL,110,110,Loss
42019,Miami Heat,0041900406,2020-10-11,MIA vs. LAL,93,93,Loss
42019,Miami Heat,0041900405,2020-10-09,MIA @ LAL,111,111,Win
42019,Miami Heat,0041900404,2020-10-06,MIA vs. LAL,96,96,Loss
42019,Miami Heat,0041900403,2020-10-04,MIA vs. LAL,115,115,Win
42019,Miami Heat,0041900402,2020-10-02,MIA @ LAL,114,114,Loss
42019,Miami Heat,0041900401,2020-09-30,MIA @ LAL,98,98,Loss
42019,Miami Heat,0041900306,2020-09-27,MIA vs. BOS,125,125,Win
42019,Miami Heat,0041900305,2020-09-25,MIA @ BOS,108,108,Loss
42019,Miami Heat,0041900304,2020-09-23,MIA vs. BOS,112,112,Win
42019,Miami Heat,0041900303,2020-09-19,MIA vs. BOS,106,106,Loss
42019,Miami Heat,0041900302,2020-09-17,MIA @ BOS,106,106,Win
42019,Miami Heat,0041900301,2020-09-15,MIA @ BOS,117,117,Win
42019,Miami Heat,0041900205,2020-09-08,MIA @ MIL,103,103,Win
42019,Miami Heat,0041900204,2020-09-06,MIA vs. MIL,115,115,Loss
42019,Miami Heat,0041900203,2020-09-04,MIA vs. MIL,115,115,Win
42019,Miami Heat,0041900202,2020-09-02,MIA @ MIL,116,116,Win
42019,Miami Heat,0041900201,2020-08-31,MIA @ MIL,115,115,Win
42019,Miami Heat,0041900134,2020-08-24,MIA vs. IND,99,99,Win
42019,Miami Heat,0041900133,2020-08-22,MIA vs. IND,124,124,Win
42019,Miami Heat,0041900132,2020-08-20,MIA @ IND,109,109,Win
42019,Miami Heat,0041900131,2020-08-18,MIA @ IND,113,113,Win
